model,task_id,format,length,total_score,judge1,judge2,judge3,word_count,latency_s
qwen_397b,e-code-01,markdown,short,33.5,0,0,0,553,0
qwen_397b,e-code-01,xml,short,33.5,0,0,0,469,0
qwen_397b,e-code-01,json,short,15.5,0,0,0,0,0
qwen_397b,e-code-01,yaml,short,34.5,0,0,0,441,0
qwen_397b,e-code-01,hybrid,short,33.0,0,0,0,404,0
qwen_397b,e-code-01,text,medium,34.5,0,0,0,216,0
qwen_397b,e-code-01,markdown,medium,34.0,0,0,0,252,0
qwen_397b,e-code-01,xml,medium,34.5,0,0,0,247,0
qwen_397b,e-code-01,json,medium,34.0,0,0,0,339,0
qwen_397b,e-code-01,yaml,medium,33.5,0,0,0,268,0
qwen_397b,e-code-01,hybrid,medium,33.5,0,0,0,249,0
qwen_397b,e-code-01,text,long,15.5,0,0,0,0,0
qwen_397b,e-code-01,markdown,long,19.0,0,0,0,63,0
qwen_397b,e-code-01,xml,long,18.0,0,0,0,0,0
qwen_397b,e-code-01,json,long,18.0,0,0,0,0,0
qwen_397b,e-code-01,yaml,long,31.0,0,0,0,567,0
qwen_397b,e-code-01,hybrid,long,33.5,0,0,0,534,0
gemini_3.1_pro,e-code-01,text,short,33.0,0,0,0,603,0
gemini_3.1_pro,e-code-01,markdown,short,33.5,0,0,0,515,0
gemini_3.1_pro,e-code-01,xml,short,32.5,0,0,0,555,0
gemini_3.1_pro,e-code-01,json,short,35.0,0,0,0,499,0
gemini_3.1_pro,e-code-01,yaml,short,33.0,0,0,0,578,0
gemini_3.1_pro,e-code-01,hybrid,short,33.5,0,0,0,594,0
gemini_3.1_pro,e-code-01,text,medium,32.5,0,0,0,327,0
gemini_3.1_pro,e-code-01,markdown,medium,33.0,0,0,0,322,0
gemini_3.1_pro,e-code-01,xml,medium,32.5,0,0,0,299,0
gemini_3.1_pro,e-code-01,json,medium,32.5,0,0,0,361,0
gemini_3.1_pro,e-code-01,yaml,medium,32.0,0,0,0,342,0
gemini_3.1_pro,e-code-01,hybrid,medium,34.0,0,0,0,332,0
gemini_3.1_pro,e-code-01,text,long,33.0,0,0,0,336,0
gemini_3.1_pro,e-code-01,markdown,long,31.5,0,0,0,592,0
gemini_3.1_pro,e-code-01,xml,long,35.0,0,0,0,594,0
gemini_3.1_pro,e-code-01,json,long,35.5,0,0,0,570,0
gemini_3.1_pro,e-code-01,yaml,long,33.0,0,0,0,583,0
gemini_3.1_pro,e-code-01,hybrid,long,29.0,0,0,0,532,0
claude_sonnet_4.6,e-code-01,text,short,29.5,0,0,0,1030,0
claude_sonnet_4.6,e-code-01,markdown,short,34.5,0,0,0,510,0
claude_sonnet_4.6,e-code-01,xml,short,35.0,0,0,0,522,0
claude_sonnet_4.6,e-code-01,json,short,34.0,0,0,0,701,0
claude_sonnet_4.6,e-code-01,yaml,short,25.5,0,0,0,980,0
claude_sonnet_4.6,e-code-01,hybrid,short,34.5,0,0,0,749,0
claude_sonnet_4.6,e-code-01,text,medium,36.0,0,0,0,607,0
claude_sonnet_4.6,e-code-01,markdown,medium,37.5,0,0,0,325,0
